externalId,institution,subject,year,difficulty,statement,a,b,c,d,e,correct,explanation
authored-enf-001,HealthQuest,Enfermagem,,MEDIUM,"A Sistematização da Assistência de Enfermagem (SAE) é composta por etapas inter-relacionadas que organizam o cuidado. Qual alternativa apresenta corretamente as cinco etapas do Processo de Enfermagem conforme a Resolução COFEN 358/2009?","Anamnese, exame físico, prescrição, evolução e alta","Coleta de dados, diagnóstico de enfermagem, planejamento, implementação e avaliação","Triagem, medicação, curativo, orientação e encaminhamento","Admissão, evolução, prescrição, intercorrência e alta","Histórico, exame clínico, conduta, intervenção e prognóstico",b,"A Resolução COFEN 358/2009 estabelece que o Processo de Enfermagem é composto por cinco etapas: coleta de dados (histórico de enfermagem), diagnóstico de enfermagem, planejamento, implementação e avaliação. Essas etapas são inter-relacionadas e devem ser registradas formalmente."
authored-enf-002,HealthQuest,Enfermagem,,MEDIUM,"Durante a aferição da pressão arterial de um paciente adulto, o profissional de enfermagem deve observar diversos cuidados técnicos. Qual das alternativas abaixo representa a técnica correta?","Posicionar o manguito sobre a roupa do paciente para maior conforto","Inflar o manguito até 30 mmHg acima do desaparecimento do pulso radial","Utilizar manguito de tamanho único independentemente da circunferência do braço","Realizar a medida imediatamente após o paciente subir escadas","Posicionar o braço do paciente acima do nível do coração",b,"A técnica correta de aferição da PA exige que o manguito seja inflado até 30 mmHg acima do ponto em que o pulso radial desaparece (estimativa da PAS). O manguito deve ser colocado sobre a pele, com tamanho adequado à circunferência do braço, e o paciente deve estar em repouso de pelo menos 5 minutos."
authored-enf-003,HealthQuest,Enfermagem,,MEDIUM,"A administração segura de medicamentos exige atenção aos 'certos' da enfermagem. Quantos são os certos atualmente preconizados e qual alternativa lista corretamente três deles?","5 certos: paciente, medicamento, dose, via e horário","7 certos: paciente, medicamento, forma farmacêutica, dose, via, horário e registro","9 certos: paciente, medicamento, dose, via, horário, registro, orientação, forma farmacêutica e resposta","11 certos: paciente, medicamento, dose, via, horário, validade, lote, gotejamento, compatibilidade, orientação e registro","3 certos: paciente, dose e horário",c,"Atualmente, a literatura de segurança do paciente preconiza 9 certos na administração de medicamentos: paciente certo, medicamento certo, dose certa, via certa, horário certo, registro certo, orientação certa, forma farmacêutica certa e resposta certa. Esses certos visam prevenir eventos adversos relacionados à medicação."
authored-enf-004,HealthQuest,Enfermagem,,MEDIUM,"Em relação à biossegurança e ao descarte de perfurocortantes em serviços de saúde, conforme a NR-32 e a RDC ANVISA 222/2018, é correto afirmar que:","Agulhas usadas devem ser reencapadas com técnica de uma mão antes do descarte","O recipiente para perfurocortantes deve ser preenchido até no máximo 2/3 de sua capacidade","Lâminas de bisturi podem ser descartadas em lixo comum desde que embaladas em papel","O descarte de perfurocortantes é responsabilidade exclusiva do serviço de limpeza","Seringas sem agulha podem ser descartadas no lixo de resíduos comuns",b,"A RDC ANVISA 222/2018 e a NR-32 determinam que recipientes para perfurocortantes devem ser preenchidos até no máximo 2/3 (dois terços) de sua capacidade, devem estar identificados com símbolo de risco biológico e ser substituídos quando atingirem o limite. O reencape de agulhas é expressamente proibido."
authored-enf-005,HealthQuest,Enfermagem,,MEDIUM,"A Norma Regulamentadora 32 (NR-32) estabelece diretrizes de segurança e saúde no trabalho em serviços de saúde. Sobre seus requisitos para os profissionais de enfermagem, assinale a alternativa correta:","O uso de adornos como anéis e pulseiras é permitido desde que higienizados","O empregador deve fornecer EPIs, mas seu uso é facultativo ao trabalhador","É obrigatória a capacitação continuada dos trabalhadores quanto aos riscos biológicos","A vacinação dos profissionais é recomendada, porém não obrigatória pela norma","O Programa de Prevenção de Riscos Ambientais (PPRA) não se aplica a serviços de saúde",c,"A NR-32 determina que todos os trabalhadores de serviços de saúde devem receber capacitação continuada sobre riscos biológicos, medidas de controle, uso correto de EPIs e procedimentos em caso de acidente. A norma também proíbe adornos e torna obrigatória a vacinação e o fornecimento de EPIs."
authored-enf-006,HealthQuest,Enfermagem,,MEDIUM,"Um paciente com colostomia definitiva necessita de orientações de enfermagem para o autocuidado. Qual das alternativas apresenta uma orientação correta sobre os cuidados com a colostomia?","A bolsa coletora deve ser trocada apenas quando estiver completamente cheia","A pele periestoma deve ser limpa com álcool 70% a cada troca de bolsa","O recorte da placa protetora deve ter o mesmo diâmetro do estoma, sem folga","A irrigação da colostomia pode ser realizada pelo paciente após treinamento adequado","Alimentos formadores de gases não interferem no funcionamento da colostomia",d,"A irrigação da colostomia é uma técnica que pode ser ensinada ao paciente para regularizar o funcionamento intestinal. A bolsa deve ser esvaziada quando atingir 1/3 da capacidade, a pele periestoma deve ser limpa com água e sabão neutro (nunca álcool), e o recorte deve ter 2-3 mm de folga em relação ao estoma."
authored-enf-007,HealthQuest,Enfermagem,,MEDIUM,"No período pós-operatório imediato (POI), o enfermeiro deve estar atento a diversas complicações. Qual intervenção de enfermagem é prioritária nas primeiras horas após uma cirurgia abdominal sob anestesia geral?","Estimular deambulação precoce nas primeiras 2 horas","Monitorar sinais de depressão respiratória e manter vias aéreas pérvias","Oferecer dieta líquida completa para recuperação nutricional","Administrar laxante para prevenir constipação pós-operatória","Remover o curativo cirúrgico para avaliar a incisão",b,"No POI de cirurgia sob anestesia geral, a prioridade é a manutenção de vias aéreas pérvias e a monitorização de depressão respiratória, pois os efeitos residuais dos anestésicos podem comprometer a função respiratória. A deambulação precoce é estimulada, mas não nas primeiras 2 horas. A dieta é reintroduzida gradualmente após retorno do peristaltismo."
authored-enf-008,HealthQuest,Enfermagem,,MEDIUM,"Durante uma hemotransfusão, o paciente apresenta febre, calafrios, dor lombar e urina escurecida. Diante dessa situação, a conduta imediata da enfermagem deve ser:","Reduzir a velocidade de infusão e administrar antitérmico conforme prescrição","Interromper imediatamente a transfusão, manter acesso venoso com SF 0,9% e comunicar o médico","Suspender a transfusão e descartar a bolsa de sangue no expurgo","Aumentar a hidratação venosa e continuar a transfusão sob observação","Administrar adrenalina subcutânea e manter a infusão em velocidade mínima",b,"Os sinais descritos (febre, calafrios, dor lombar e urina escura) sugerem reação transfusional hemolítica. A conduta imediata é: interromper a transfusão, manter acesso venoso com SF 0,9% (não em Y com a bolsa), comunicar o médico, enviar a bolsa e amostras de sangue ao banco de sangue e monitorar sinais vitais."
authored-enf-009,HealthQuest,Enfermagem,,MEDIUM,"Em uma parada cardiorrespiratória (PCR) em adulto, a sequência correta do Suporte Básico de Vida (SBV) segundo as diretrizes da American Heart Association (AHA 2020) é:","Verificar responsividade → Chamar ajuda → A-B-C (via aérea, respiração, compressões)","Verificar responsividade → Chamar ajuda → C-A-B (compressões, via aérea, respiração)","Chamar ajuda → Desfibrilar → Iniciar compressões → Verificar ritmo","Verificar pulso por 30 segundos → Iniciar ventilação → Aplicar compressões","Posicionar a vítima → Realizar 2 ventilações de resgate → Iniciar compressões",b,"Desde 2010, a AHA preconiza a sequência C-A-B para o SBV em adultos: primeiro compressões torácicas (C), depois abertura de via aérea (A) e ventilações (B). A prioridade é iniciar compressões de alta qualidade o mais rápido possível. A verificação de pulso deve levar no máximo 10 segundos."
authored-enf-010,HealthQuest,Enfermagem,,MEDIUM,"Na avaliação e tratamento de feridas, a enfermagem utiliza diferentes tipos de curativos conforme a classificação da lesão. Sobre feridas e curativos, é correto afirmar que:","Feridas com tecido de granulação devem ser tratadas com curativo seco para acelerar a cicatrização","O desbridamento autolítico utiliza enzimas exógenas como colagenase","Feridas de espessura total com necrose úmida (esfacelo) são classificadas como estágio 2","A hidrogel é indicada para feridas com excesso de exsudato por sua alta capacidade absortiva","O ambiente úmido favorece a migração celular e o processo de cicatrização",e,"O conceito de cicatrização em meio úmido, introduzido por Winter (1962), demonstrou que feridas mantidas em ambiente úmido controlado cicatrizam mais rapidamente, pois o meio úmido favorece a migração celular, angiogênese e desbridamento autolítico. Curativos secos não são indicados para feridas com tecido de granulação."
